total=8637 named=933
DisplayClass::ProcessClickCoords @ 00692300
DisplayClass::Remove @ 004a9770
DisplayClass::SetActiveFoundation @ 004a8bf0
DisplayClass::Submit @ 004a9720
EBolt::Fire @ 004c2a60
EBolt::SetOwner @ 004c2bd0
EMPulseClass::WhatAmI @ 004c52b0
EnumProtocolsA @ 007c89c2
EventClass::EventClass @ 004c65e0
EventClass::EventClass @ 004c6650
EventClass::EventClass @ 004c66c0
EventClass::EventClass @ 004c6780
EventClass::EventClass @ 004c6800
EventClass::EventClass @ 004c6860
EventClass::EventClass @ 004c68e0
EventClass::EventClass @ 004c6970
EventClass::EventClass @ 004c6ae0
EventClass::EventClass @ 004c6b60
EventClass::EventClass @ 004c6c50
FacingClass::IsRotating @ 004c9480
FacingClass::SetDesired @ 004c9220
FactoryClass::AbandonProduction @ 004c9ff0
FactoryClass::Activate @ 006a8330
FactoryClass::AddButtons @ 006a93f0
FactoryClass::CompletedProduction @ 004ca1a0
FactoryClass::CountTotal @ 004ca670
FactoryClass::Deactivate @ 006a83e0
FactoryClass::DemandProduction @ 004c9c70
FactoryClass::GetBuildTimeFrames @ 004c9fb0
FactoryClass::GetProgress @ 004ca120
FactoryClass::HasProgressChanged @ 004c9c60
FactoryClass::Initialize @ 006a8220
FactoryClass::IsDone @ 004ca130
FactoryClass::IsQueued @ 004ca6b0
FactoryClass::RemoveButtons @ 006a94b0
FactoryClass::RemoveOneFromQueue @ 004ca620
FactoryClass::StartProduction @ 004ca5a0
FactoryClass::Suspend @ 004c9e60
FactoryClass::Unsuspend @ 004c9ea0
FieldClass::HostToNet @ 004cb8b0
FieldClass::NetToHost @ 004cb920
FileClass::ReadWholeFile @ 004a3890
FlyLocomotionClass::In_Which_Layer @ 004cc9a0
FootClass::AbortMotion @ 004df0d0
FootClass::CanBeRecruited @ 004da230
FootClass::ClearNavigationList @ 004da1c0
FootClass::CreateWakes @ 00629e90
FootClass::FindPath @ 004cbba0
FootClass::FootClass_ImbueLocomotor @ 00710000
FootClass::Jumpjet_OccupyCell @ 004e00b0
FootClass::MoveToTiberium @ 004dcfe0
FootClass::MoveToWeed @ 004ddb90
FootClass::QueueNavigationList @ 004da0e0
FootClass::RemoveFirstPassenger @ 004de710
FootClass::UpdatePassengerCoords @ 007104f0
FootClass::UpdatePathfinding @ 004d3920
GameOptionsClass::GetAnimSpeed @ 005fb2e0
GetCurrentProcessId @ 007d5719
GetFileVersionInfoA @ 007c89e6
GetFileVersionInfoSizeA @ 007c89ec
HouseClass::AISupers @ 0050b1d0
HouseClass::AI_BaseConstructionUpdate @ 004fe3e0
